id,code,name,G7,G20,OECD, compGrowth ,avgAnnuTemp,tempStepRatio, gdp ,population,gdpPerCapita,gdpPerCapitaCount,gdpPerCapitaMu,gdpPerCapitaK2,energyPerGdp,energyPerGdpCount,energyPerGdpMu,energyPerGdpK2,emisPerEnergy,emisPerEnergyCount,emisPerEnergyMu,emisPerEnergyK2
ARG,ARG,Argentina,FALSE,TRUE,FALSE,0.02584,15.851,1.181,4.45E+11,44781000,9947.19,41,0.027027,0.0004182,2.15937,55,-0.042827,0.096527,186030.8562,45,-0.008874,0.002749
AUS,AUS,Australia,TRUE,TRUE,FALSE,0.02749,22.842,1.489,1.40E+12,25203000,55412.73,41,0.027015,0.0001015,1.27487,55,-0.065741,0.019825,230850.3546,45,-0.001736,0.001563
AUT,AUT,Austria,FALSE,FALSE,FALSE,0.017553,8.122,3.085,4.45E+11,8955000,49701.33,41,0.024815,0.0002508,0.936071,55,-0.078512,0.022393,164405.9675,45,-0.005613,0.004668
BEL,BEL,Belgium,FALSE,FALSE,FALSE,0.021045,11.701,3.021,5.33E+11,11539000,46199.62,41,0.027677,0.0003384,1.41349,55,-0.074031,0.022943,132322.7246,45,-0.018466,0.002396
BRA,BRA,Brazil,FALSE,TRUE,FALSE,0.019107,26.233,1.809,1.84E+12,211050000,8717.17,41,0.023754,0.0003508,1.872747,55,-0.049496,0.046321,135170.2661,45,-0.012091,0.00195
CAN,CAN,Canada,TRUE,TRUE,FALSE,0.018619,-3.694,3.872,1.74E+12,37411000,46414.84,41,0.017751,0.0009205,2.273839,55,-0.062982,0.008465,146048.4048,45,-0.006618,0.000828
CHE,CHE,Switzerland,FALSE,FALSE,FALSE,0.018358,9.057,3.011,7.03E+11,8591000,81839.42,41,0.020496,0.0005592,0.446511,55,-0.08546,0.025399,120030.0254,45,-0.006061,0.004311
CHL,CHL,Chile,FALSE,FALSE,FALSE,0.019961,10.421,1.021,2.82E+11,18952000,14896.48,41,0.025749,0.0001004,1.629194,55,-0.052377,0.049289,183207.8243,45,-0.012163,0.005761
CHN,CHN,China,FALSE,TRUE,FALSE,0.024139,8.265,2.223,1.43E+13,1433784000,9959.62,41,0.035139,0.0020996,2.756379,55,-0.054189,0.016104,258497.0018,45,-0.005926,0.000856
COL,COL,Colombia,FALSE,FALSE,FALSE,0.019856,26.054,1.309,3.24E+11,50339000,6428.73,41,0.024356,0.0001195,1.651683,55,-0.058428,0.022486,191207.3727,45,-0.006919,0.007604
CRI,CRI,Costa Rica,FALSE,FALSE,FALSE,0.024934,26.864,1.702,61801385049,5048000,12242.75,41,0.030245,0.0003668,1.104797,37,-0.042724,0.035776,125479.0175,37,-0.00782,0.013073
CZE,CZE,Czech Republic,FALSE,FALSE,FALSE,0.01859,9.923,2.904,2.51E+11,10689000,23452.19,41,0.026786,0.0001998,1.889521,30,-0.094206,0.028925,213251.0355,45,-0.010395,0.001458
DEU,DEU,Germany,TRUE,TRUE,TRUE,0.013577,10.327,2.989,3.86E+12,83517000,46231.59,41,0.021603,0.0003603,0.945314,50,-0.082879,0.026049,192317.7852,45,-0.010475,0.000574
DNK,DNK,Denmark,FALSE,FALSE,FALSE,0.01994,8.829,3.043,3.50E+11,5772000,60655.64,41,0.024746,0.0001289,0.552867,54,-0.089647,0.025609,165712.5867,45,-0.01507,0.002703
ESP,ESP,Spain,FALSE,FALSE,FALSE,0.01458,15.321,2.734,1.39E+12,46737000,29815.57,41,0.02502,0.0006265,1.140492,55,-0.064796,0.024043,158993.7594,45,-0.014182,0.003287
EST,EST,Estonia,FALSE,FALSE,FALSE,0.01658,8.294,3.202,31471100656,1326000,23733.86,41,0.029577,0.0003894,2.106726,27,-0.106918,0.026787,209474.563,35,-0.013941,0.005085
FIN,FIN,Finland,FALSE,FALSE,FALSE,0.014623,3.559,3.223,2.69E+11,5532000,48679.74,41,0.021334,0.0003892,1.132258,55,-0.064503,0.026718,136604.8775,45,-0.0153,0.007715
FRA,FRA,France,TRUE,TRUE,TRUE,0.019902,14.854,2.766,2.72E+12,65130000,41693.82,41,0.026935,0.0005379,0.990106,55,-0.067166,0.020947,120412.4816,45,-0.01987,0.002089
GBR,GBR,United Kingdom,TRUE,TRUE,TRUE,0.020819,9.978,2.447,2.83E+12,67530000,41894.09,41,0.025716,0.0001708,0.769792,55,-0.0888,0.022683,169838.4379,45,-0.012759,0.000697
GRC,GRC,Greece,FALSE,FALSE,FALSE,0.012121,16.141,1.894,2.10E+11,10473000,20037.5,41,0.023557,0.0007309,1.516339,55,-0.050189,0.019691,211132.25,45,0.002487,0.003511
HUN,HUN,Hungary,FALSE,FALSE,FALSE,0.016127,11.573,2.713,1.63E+11,9685000,16878.58,41,0.028597,0.0002932,1.687879,29,-0.081883,0.019345,177956.3599,45,-0.014436,0.001254
IDN,IDN,Indonesia,FALSE,TRUE,FALSE,0.035909,26.602,1.287,1.12E+12,270626000,4135.56,41,0.041875,0.0027334,2.211735,53,-0.051264,0.05708,249464.4796,45,-0.00973,0.015801
IND,IND,India,FALSE,TRUE,TRUE,0.044855,24.621,1.532,2.87E+12,1366418000,2099.6,41,0.054269,0.0096381,3.29774,55,-0.029985,0.01539,276551.4475,45,0.004137,0.001062
IRL,IRL,Ireland,FALSE,FALSE,FALSE,0.024721,10.548,2.16,3.89E+11,4882000,79618.74,41,0.02917,0.0002017,0.474,55,-0.101729,0.025179,201460.506,45,-0.008845,0.00092
ISL,ISL,Iceland,FALSE,FALSE,FALSE,0.023315,2.178,2.521,24188038474,339000,71351.15,41,0.029131,0.0001982,2.522197,55,-0.045441,0.042142,54447.14541,45,-0.026058,0.006
ISR,ISR,Israel,FALSE,FALSE,FALSE,0.031959,21.304,2.16,3.95E+11,8519000,46326.12,41,0.027089,0.0000569,0.792581,55,-0.072736,0.019259,205157.7684,45,-0.010359,0.005501
ITA,ITA,Italy,TRUE,TRUE,TRUE,0.012008,14.478,2.809,2.00E+12,60550000,33089.61,41,0.023314,0.0009610,0.883631,55,-0.071593,0.021201,190398.7936,45,-0.004165,0.000932
JPN,JPN,Japan,TRUE,TRUE,TRUE,0.011398,13.637,1.766,5.08E+12,126860000,40058.09,41,0.024993,0.0001729,1.020738,55,-0.077911,0.023652,213347.1314,45,-0.001621,0.002038
KOR,KOR,"Korea, Rep.",FALSE,TRUE,TRUE,0.017579,13.439,2.128,1.65E+12,51225000,32147.18,41,0.030322,0.0003794,2.086756,55,-0.063994,0.02024,177881.898,45,-0.017629,0.002248
LTU,LTU,Lithuania,FALSE,FALSE,FALSE,0.007948,9.11,3.17,54627411860,2760000,19792.54,41,0.022103,0.0004738,1.244961,25,-0.132805,0.042879,198259.2451,35,0.002086,0.015805
LUX,LUX,Luxembourg,FALSE,FALSE,FALSE,0.029665,11.526,3.011,71104919108,616000,115430.06,41,0.031431,0.0003985,0.664103,55,-0.110788,0.029364,207214.015,45,-0.009744,0.001971
LVA,LVA,Latvia,FALSE,FALSE,FALSE,0.011653,8.685,3.245,34102913582,1907000,17883.02,41,0.026616,0.0006377,1.29379,25,-0.102268,0.051101,187261.1849,35,0.004006,0.010879
MEX,MEX,Mexico,FALSE,TRUE,TRUE,0.024508,21.574,1.681,1.27E+12,127576000,9946,41,0.027134,0.0000453,1.690206,55,-0.054226,0.040776,204460.9676,45,-0.009725,0.00396
NLD,NLD,Netherlands,FALSE,FALSE,FALSE,0.020915,11.815,3.074,9.07E+11,17097000,53053.22,41,0.029968,0.0004634,1.07527,55,-0.076296,0.020138,158743.5921,45,-0.004991,0.002504
NOR,NOR,Norway,FALSE,FALSE,FALSE,0.020657,2.079,3.351,4.03E+11,5379000,74983.52,41,0.02044,0.0005206,1.216803,55,-0.079942,0.025056,86476.04329,45,-0.003008,0.010814
NZL,NZL,New Zealand,FALSE,FALSE,FALSE,0.024866,11.368,1.032,2.07E+11,4783000,43263.38,41,0.02828,0.0000915,1.230249,55,-0.065139,0.026244,143537.6865,45,-0.001141,0.006975
POL,POL,Poland,FALSE,FALSE,FALSE,0.011587,9.965,2.968,5.96E+11,37888000,15726.83,41,0.022599,0.0005099,1.993753,30,-0.106715,0.025075,271572.4936,45,-0.003956,0.000776
PRT,PRT,Portugal,FALSE,FALSE,FALSE,0.014085,16.204,2.468,2.39E+11,10226000,23350.78,41,0.025808,0.0000972,1.213162,55,-0.05651,0.021621,167760.9645,45,-0.006181,0.009113
RUS,RUS,Russian Federation,FALSE,TRUE,FALSE,0.007726,-1.842,3.606,1.70E+12,145872000,11653.21,41,0.014158,0.0019295,4.870459,32,-0.059811,0.07571,202721.404,40,0.00945,0.020199
SAU,SAU,Saudi Arabia,FALSE,TRUE,FALSE,0.021272,26.847,2.745,7.93E+11,34269000,23139.48,41,0.02009,0.0009664,3.865771,52,-0.075437,0.094783,189908.0973,45,-0.017594,0.03204
SVK,SVK,Slovak Republic,FALSE,FALSE,FALSE,0.019617,9.355,2.67,1.05E+11,5457000,19255.94,41,0.031767,0.0006619,1.737548,30,-0.116031,0.029763,182465.6947,45,-0.016355,0.002458
SVN,SVN,Slovenia,FALSE,FALSE,FALSE,0.013674,10.856,3.266,54174227309,2079000,26057.83,41,0.02316,0.0004915,1.437049,30,-0.046299,0.026022,175931.3047,30,-0.010833,0.003483
SWE,SWE,Sweden,FALSE,FALSE,FALSE,0.022826,5.037,3.138,5.31E+11,10036000,52897.95,41,0.026528,0.0000167,1.172955,55,-0.067731,0.025832,68678.99785,45,-0.026265,0.007598
TUR,TUR,Turkey,FALSE,TRUE,TRUE,0.032007,13.674,1.702,7.61E+11,83430000,9126.52,41,0.037854,0.0023140,2.367729,55,-0.030606,0.042914,224714.5296,45,-0.007204,0.003388
USA,USA,United States,TRUE,TRUE,TRUE,0.018621,10.709,2.511,2.14E+13,329065000,65133.72,41,0.020148,0.0005277,1.226663,55,-0.072671,0.002786,201005.1082,45,-0.003639,0.000282
ZAF,ZAF,South Africa,FALSE,FALSE,TRUE,0.02726,18.201,1.309,3.51E+11,58558000,6001.43,41,0.027736,0.0001163,4.268938,55,-0.052218,0.033155,319021.024,45,-0.001513,0.002934